longitude,latitude,elev_m,dist_to_water_m,bioclim1,bioclim4,bioclim12,bioclim15
36.4736345,8.2535117,2196,3513,179.6325,890.9125,1908.1125,72.6325
36.8379371,8.2535117,1445,342,208.305,1021.0175,1851.7525,77.145
37.2022396,8.2535117,2236,8092,182.2275,829.3725,1611.7125,73.7225
37.5665421,8.2535117,1143,2221,213.0875,1022.275,1211.7125,75.6875
37.9308447,8.2535117,1904,739,183.25,948.0425,1203.495,79.1
38.2951472,8.2535117,3307,6443,124.105,784.02,1217.405,68.695
38.6594497,8.2535117,1856,5784,184.3725,848.745,997.7025,71.595
39.0237523,8.2535117,1841,6797,196.5,1170.3125,827.5,82.6
39.3880548,8.2535117,1685,1619,194.3775,1407.065,846.215,82.145
39.7523573,8.2535117,2735,987,156.0375,528.41,1079.165,60.65
40.1166599,8.2535117,1438,742,212.165,1343.5225,871.7975,62.4
40.4809624,8.2535117,1519,4003,216.875,1241.55,871.0125,59.8625
40.845265,8.2535117,1247,1878,231.0625,1160.2825,725.5325,59.45
41.2095675,8.2535117,1538,5364,215.55,836.1575,787.39,61.4725
41.57387,8.2535117,1186,6295,231.08,800.28,614.44,63.55
41.9381726,8.2535117,1156,409,235.3,740.575,532.85,65.55
42.3024751,8.2535117,1250,2715,233.855,734.24,498.4425,68.035
42.6667776,8.2535117,905,394,248.485,853.39,405.365,74.89
43.0310802,8.2535117,1269,6562,235.035,901.125,443.255,74.6675
43.3953827,8.2535117,1104,7856,245.8625,1016.3,387.95,81.05
43.7596853,8.2535117,1235,3469,236.9425,1100.2175,396.5375,83.3575
44.1239878,8.2535117,1157,25710,237.4275,1174.1725,361.0225,89.2675
44.4882903,8.2535117,931,51762,246.1225,1249.2875,297.5325,98.1575
44.8525929,8.2535117,928,30081,244.3125,1300.8375,276.8875,104.7375
45.2168954,8.2535117,837,3857,247.0675,1345.5375,239.9175,108.5
45.5811979,8.2535117,838,10368,245.35,1354.2775,222.4,113.7975
45.9455005,8.2535117,751,16319,247.8675,1374.18,191.5525,118.5
34.2878193,8.6178142,506,887,272.05,1477.17,925.7875,82.05
34.6521218,8.6178142,1767,5954,207.4775,1110.795,1341.6725,68.73
35.0164244,8.6178142,1313,8615,217.4125,1115.5575,1353.1325,76.6175
35.3807269,8.6178142,1533,12497,203.9,1059.34,1609.735,78.8025
35.7450294,8.6178142,1855,2283,197.3225,1085.8,1810.23,78.9225
36.109332,8.6178142,2079,7590,184.5525,1066.11,1911.2975,79.7575
36.4736345,8.6178142,1324,930,212.73,1319.245,1625.9625,80.0925
36.8379371,8.6178142,1606,4593,211.23,1133.9275,1580.595,80.0
37.2022396,8.6178142,1546,488,203.815,1035.3075,1446.46,78.9525
37.5665421,8.6178142,2132,2183,176.2125,995.0625,1316.625,80.2
37.9308447,8.6178142,2225,1479,171.05,1024.735,1213.2525,84.7325
38.2951472,8.6178142,2183,1205,171.6175,965.83,1141.4025,83.845
38.6594497,8.6178142,2053,837,183.5075,978.225,1010.0,89.5225
